date,district,state,commodity,modal_price,arrivals_qtl,rainfall_mm,t_max,t_min,rh_pct,soil_moisture_z,ndvi,is_closed_day,modal_price_winsorized_robust,arrivals_clean_robust,rainfall_mm_robust,ndvi_clean_robust,soil_moisture_z_robust
2024-01-01,Karnal,Haryana,Wheat,2623.87,1346.0,0.0,18.82,9.06,36.9,-0.592,0.2531955321736268,False,0.00016570356332677591,-0.056495575221238895,0.0,-0.14788112420768357,-0.16741348078939838
2024-01-02,Karnal,Haryana,Wheat,2318.81,953.9,0.0,21.35,6.72,33.1,-0.478,0.2617484731576596,False,-0.14222733595347226,-0.15743845534995973,0.0,-0.12390275340719752,-0.08046524930879967
2024-01-03,Karnal,Haryana,Wheat,2073.22,887.0,0.0,20.3,7.18,26.1,-0.548,0.27038445268527883,False,-0.25686152783353094,-0.1746613032984714,0.0,-0.09969158210071417,-0.133854514253027
2024-01-04,Karnal,Haryana,Wheat,2146.26,893.3,0.0,19.65,7.62,39.6,-0.443,0.27910279230810947,False,-0.22276860314229951,-0.17303942075623488,0.0,-0.07524951233417727,-0.053770616836686054
2024-01-05,Karnal,Haryana,Wheat,2384.21,2313.2,38.51,17.6,8.14,43.4,0.318,0.28790281357777614,False,-0.11170053865327338,0.1925020112630732,38.51,-0.05057844615353145,0.5266469634855563
2024-01-06,Karnal,Haryana,Wheat,2553.59,1813.5,0.0,17.55,6.28,38.7,0.216,0.2967838380459039,False,-0.03263893426936385,0.06385840707964606,0.0,-0.025680285604720132,0.44885117742396796
2024-01-07,Karnal,Haryana,Wheat,2553.59,0.0,19.04,17.06,7.93,34.4,0.536,0.30574518726411753,True,-0.03263893426936385,-0.4030120675784392,19.04,-0.0005569327336876601,0.6929163885975784
2024-01-08,Karnal,Haryana,Wheat,2375.77,563.7,0.0,20.65,6.4,29.5,0.311,0.31478618278404175,False,-0.11564008252504218,-0.2578921962992759,0.0,0.024789710413621616,0.5213080369911335
2024-01-09,Karnal,Haryana,Wheat,2140.36,1485.8,0.0,19.42,7.68,39.3,0.142,0.3239061461573015,False,-0.22552254968773033,-0.02050522928399031,0.0,0.050357741791263975,0.3924110973400705
2024-01-10,Karnal,Haryana,Wheat,2404.92,1460.6,0.0,19.86,7.86,36.7,0.02,0.3331043989355215,False,-0.1020337195082104,-0.02699275945293642,0.0,0.07614525935329491,0.29936123558013156
2024-01-11,Karnal,Haryana,Wheat,2201.87,778.9,0.0,16.74,7.52,32.8,-0.138,0.3423802626703268,False,-0.19681149002511225,-0.2024907481898632,0.0,0.10215036105377087,0.17885403756316137
2024-01-12,Karnal,Haryana,Wheat,2427.29,1337.1,0.0,20.98,8.06,36.8,-0.241,0.35173305891334206,False,-0.09159206116561949,-0.05878680611423972,0.0,0.1283711448467475,0.10029554771665554
